Cemetery	בית עלמין
^you could in here with comfort and ease.	^תוכל לעשות את זה כאן בקלות ובנוחות.
Even though it is used, you'll notice it still has that new coffin smell.	אפילו שהוא משומש, תוכל להבחין בכך שעוד יש לו ריח של ארון קבורה חדש.
I don't mean to scare you, but anything smaller than this and we might have to cut off your loved one's feet.	אני לא מתכוון להפחיד אותך, אבל עם ארון קטן יותר מזה אולי נצטרך לחתוך ליקיריך את כפות הרגליים.
Take it from me, I'm as claustrophobic as they come, and I love it in here.	תאמין לי, אני קלסטרופובי במיוחד, ואני אוהב להיות כאן בפנים.
This baby's so nice, it should be illegal--	המותק הזה כל כך נעים, זה צריך להיות לא חוקי--
It makes people want to die.	הוא גורם לאנשים לרצות למות.
I've got one of these in the back for when I go.	יש לי אחד כזה מאחורה לרגע שבו אני אלך.
We also stock an excellent worm repellent that I might just throw in for free.	יש לנו במלאי גם דוחה תולעים מצוין שאהיה אולי מוכן להוסיף חינם אין כסף.
It's already nailed shut.	זה כבר סגור במסמרים.
But I don't have a hammer.	אבל אין לי פטיש.
But I don't have any nails.	אבל אין לי מסמרים.
But it's open.	אבל זה פתוח.
It's just as roomy closed.	הוא מרווח באותה מידה כשהוא סגור.
Here, let me show you^	הנה, תן לי להראות לך^
See?	רואה?
I hear you knocking up there.	אני שומע אותך דופק שם.
That's solid oak you're hearing!	מה שאתה שומע זה עץ אלון מלא!
Yes it sure is nice in here.	כן בהחלט נחמד כאן.
Hey!  I think the lid's stuck!	היי! אני חושב שהמכסה תקוע!
Uh^  Excuse me, friend^	אה^ תסלח, לי חבר^
Could you see if the clasp is closed on this thing?	תוכל לראות אם הקרס סגור על הדבר הזה?
I seem to be stuck^	נראה שאני תקוע^
Hello?	שלום?
Is there anybody out there?	יש שם מישהו בחוץ?
Yoo-hoo?	יו-הו?
Help!	הצילו!
I can't get out of here!	אני לא יכול לצאת מכאן!
OK, a joke's a joke, now GET ME OUT OF HERE!	בסדר, בדיחה זו בדיחה, עכשיו *תוציא אותי מכאן*!
Open this coffin right now!	פתח את ארון הקבורה הזה תיכף ומיד!
Anybody?	מישהו?
I really am claustrophobic.	אני באמת קלסטרופובי.
Someone's going to pay for this.	מישהו הולך לשלם על זה.
I'd bust out of here, but the dang thing's built too well.	הייתי פורץ מכאן, אבל הדבר הארור הזה בנוי טוב מדי.
Well, if I had to be stuck in a coffin, at least it's the deluxe model.	טוב, אם אני חייב להיות תקוע בארון קבורה, לפחות זה הדגם היוקרתי.
It really is pretty roomy in here.	באמת מאוד מרווח כאן.
Maybe I'll take a nap.	אולי אני אתפוס תנומה.
I hope this thing's not airtight.	אני מקווה שהדבר הזה לא אטום לאוויר.
I'm not dead!	אני לא מת!
I'm losing valuable business.	אני מפסיד עסקאות טובות.
Let me out!  I need to go to the bathroom.	תוציאו אותי!  אני צריך ללכת לשירותים.
Hey, kid.  Don't be touching that.	היי, ילד. אל תיגע בזה.
Sure!	בטח!
Okeydokey!	בסדר גמור!
Alrighty^	אחלה^
Yessiree!	בהחלט אדוני!
Heck, why not?	אתה יודע מה, למה לא?
No problemo!	אין בעיות!
What an excellent idea!	איזה רעיון מצוין!
I was just going to suggest that myself.	בדיוק רציתי להציע את זה בעצמי.
Of course!	בוודאי!
Hey, anything you say!	היי, מה שתגיד!
Dang.  Looks like it's empty.	לעזאזל.  נראה שזה ריק.
Of course it is!	כמובן שזה כך!
I just went to the bank!	הרגע הלכתי לבנק!
Now get me out of here!	עכשיו תוציא אותי מכאן!
	
Nothing inside.	אין שום דבר בפנים.
kiosk	דוכן
path	שביל
land	אדמה
gate	שער
guard	שומר
Is there something I can help you with?	אני יכולה לעזור לך במשהו?
\x07I'm here for the Governor's party.	\x07באתי למסיבה של המושלת.
\x07You mentioned a party before^\xFF\x09\x17\x00	\x07הזכרת מסיבה מוקדם יותר^\xFF\x09\x17\x00
\x07You mentioned a party before^\xFF\x09\x17\x00	\x07הזכרת מסיבה מוקדם יותר^\xFF\x09\x17\x00
\x07Nice costume.  Almost scared me to death.	\x07תחפושת נחמדה.  כמעט הפחדת אותי למוות.
\x07What are you guarding here?	\x07על מה את שומרת כאן?
\x07Elaine Marley?  From M\x88l\x82e Island?	\x07אילנה מארלי?  מהאי פלוגתא?
\x07Party?  What party?\xFF\x09\x06\x00	\x07מסיבה?  איזו מסיבה?\xFF\x09\x06\x00
\x07Elaine Marley?  From M\x88l\x82e Island?	\x07אילנה מארלי?  מהאי פלוגתא?
\x07Elaine Marley?  From M\x88l\x82e Island?	\x07אילנה מארלי?  מהאי פלוגתא?
\x07Gotta go.  Keep up the good work.\xFF\x09\x1A\x00	\x07אני חייב לזוז.  תמשיכי בעבודה הטובה שאת עושה.\xFF\x09\x1A\x00
Elaine Marley, of course.	אלינה מארלי, כמובן.
	
Yup.  The same heroic Elaine Marley who killed the Ghost Pirate LeChuck.	כן.  אותה אילנה מארלי הגיבורה שהרגה את שודד הרפאים לה-צ'אק.
But, I killed LeChuck!\xFF\x09\x1B\x00	אבל, אני הרגתי את לה-צ'אק!\xFF\x09\x1B\x00
Why would Governor Marley lie?	למה שהמושלת מארלי תשקר?
\x07Jealousy?\xFF\x09\x06\x00	\x07קנאה?\xFF\x09\x06\x00
\x07Revenge?\xFF\x09\x06\x00	\x07נקמה?\xFF\x09\x06\x00
\x07Fame and fortune?\xFF\x09\x06\x00	\x07כבוד ותהילה?\xFF\x09\x06\x00
\x07For attention?\xFF\x09\x06\x00	\x07תשומת לב?\xFF\x09\x06\x00
In your dreams.	בחלומות שלך.
	
I'm guarding Governor Marley's mansion.	אני שומרת על האחוזה של המושלת מארלי.
	
Thanks.	תודה.
Where's your costume for the Governor's party?	איפה התחפושת שלך למסיבה של המושלת?
	
Governor Marley is having a huge Mardi Gras party.	המושלת מארלי עורכת מסיבת מארדי גרא ענקית.
Invitation only^ costumes required^ that sort of thing.	הזמנה בלבד^ נדרשת תחפושת^ דברים מהסוג הזה.
	
You mean Governor Marley's Mardi Gras fish fry?	אתה מתכוון לטיגון הדגים במארדי גרא של המושלת מארלי?
It's invitation only and costumes are required.	זה בהזמנה בלבד ויש חובת תחפושות.
	
Did you bring a costume and invitation?	הבאת תחפושת והזמנה?
Did you bring a costume?	הבאת תחפושת?
Did you bring an invitation?	הבאת הזמנה?
	
\x07I've got my invitation right here.	\x07יש לי את ההזמנה ממש כאן.
\x07I don't have an invitation.	\x07אין לי הזמנה.
\x07I have my costume right here.	\x07יש לי את התחפושת ממש כאן.
\x07This is my costume.\xFF\x09\x1B\x00	\x07זאת התחפושת שלי.\xFF\x09\x1B\x00
\x07Uh, I didn't want to go anyway.	\x07אה, גם ככה לא רציתי ללכת.
Suit yourself.	איך שאתה רוצה.
Well, what do you know?	נו, מה תגיד על זה?
You do have an invitation.	יש לך הזמנה.
	
Do you have a costume?	יש לך תחפושת?
Then you can't go past me.	אז אתה לא יכול לעבור דרכי.
	
Nobody would willingly wear such a dopey costume.	אף אחד לא היה לובש תחפושת כזאת דבילית מרצונו החופשי.
	
Better put it on.	עדיף לשים אותה.
Well, if you insist.	טוב, אם את מתעקשת.
But you'll have to try to restrain yourself.	אבל תצטרכי להשתדל לרסן את עצמך.
No, no!  Not here!	לא, לא! לא כאן!
Go in the bushes or something.	לך לשיחים או משהו.
Guybrush	ברנשצבע
Geeze^	בחיי^
Oh, that is nice.	אה, זה נחמד.
And the boots are a nice touch.	והמגפיים הם תוספת נחמדה.
	
Guybrush	ברנשצבע
Do you have an invitation?	יש לך הזמנה?
OK, I guess you can go through.	בסדר, אני מניחה שאתה יכול לעבור.
Have fun.	תהנה.
THE GHOST PIRATE LECHUCK!!!!	*שודד הרפאים לה-צ'אק*!!!!
Get a grip.	תתאפס על עצמך.
Don't you know a Mardi Gras costume when you see one?	אתה לא מזהה תחפושת מארדי גרא כשאתה רואה אחת?
	
Guybrush	ברנשצבע
Guybrush	ברנשצבע
I'd rather not wear this costume in public.	אני מעדיף לא ללבוש את התחפושת הזו בפומבי.
path	שביל
woods	יער
mansion	אחוזה
Maybe while I'm in the woods I'll ditch this stupid costume.	אולי בזמן שאני ביער אני איפטר מהתחפושת המטופשת הזאת.
I should probably stay in costume, for now.	עדיף שאני אשאר בתחפושת, לבינתיים.
Well, shoot.	נו, באמת.
Leave me alone.	עזוב אותי בשקט.
I'm busy.	אני עסוק.
I'd better not.	עדיף שלא.
He's got a rake.	יש לו מגרפה.
gardener	גנן
side of house	צד הבית
grounds	חצר
side of house	צד הבית
side of house	צד הבית
Aw, what a cute little thing.	אוי, איזה דבר קטן וחמוד.
Don't you patronize me.	אל תתנשא עלי.
I'm a scholar.	אני מלומד.
Now why would I want to pick on such a cute little puppy?	למה שאני ארצה להציק לגור כלבים כזה קטן וחמוד?
I'm fetching enough already in this dress.	אני מושך כבר מספיק יללות בשמלה הזאת.
That doesn't seem to smell interesting to him.	עושה רושם שזה לא מריח לו מעניין.
dog	כלב
grounds	חצר
door	דלת
map piece	חתיכת מפה
Hey!	היי!
It looks like it's about to blow away.	נראה שזה עומד לעוף.
Hey, that's a good idea.	היי, זה רעיון טוב.
Whoops.  Too late.	אופס.  מאוחר מדי.
What the^	מה לכל ה^
Hey^	היי^
Dang wind.	רוח ארורה.
Come back here!	תחזור הנה!
Slippery little devil^	שד קטן וחלקלק^
Hold still.	תעמוד במקום.
OK, that does it.	בסדר, זה מספיק.
I think I've had enough fun with this poor little dog already.	אני חושב שהשתעשעתי מספיק כבר עם הכלב הקטן והמסכן הזה.
You'd better not touch that dog!	עדיף שלא תיגע בכלב הזה!
I'm warning you--he bites!	אני מזהיר אותך--הוא נושך!
I'd like to, but this dress just doesn't have the pockets for it.	הייתי שמח, אבל לשמלה הזאת אין כיסים מתאימים לזה.
I'd like to, but this dress just doesn't have the pockets for it.	הייתי שמח, אבל לשמלה הזאת אין כיסים מתאימים לזה.
I'm going to ditch this thing once and for all.	אני הולך להיפטר מהדבר הזה אחת ולתמיד.
Guybrush	ברנשצבע
	
Guybrush	ברנשצבע
OK, dog.	בסדר, כלב.
You're coming with me.	אתה בא איתי.
I thought I told you to beat it!	חשבתי שאמרתי לך להסתלק!
You keep away from that dog!	אתה תתרחק מהכלב הזה!
	
I don't think he's interested.	אני לא חושב שהוא מעוניין.
	
Ha!	הא!
Bark as loud as you want!	תנבח חזק כרצונך!
Filbert's out raking the back forty.	פילברט בחוץ גורף את החצר האחורית.
	
There you go again!	הנה אתה שוב מתחיל!
Cut that out!	תפסיק עם זה!
Aren't you listening to me?	אתה לא מקשיב לי?
I'm about to stick that thing in your ear!	אני הולך לתקוע את הדבר הזה באוזן שלך!
What's the matter, boy?	מה קרה, בחור?
Smell something?	אתה מריח משהו?
Uh^ nice doggie^	אה^ כלבלב טוב^
What's the matter there, Guybrush?	מה העניין שם, ברנשצבע?
\x07Nothing a big hug wouldn't cure.	\x07לא משהו שחיבוק גדול לא יכול לפתור.
\x07LeChuck's alive and I'm on the lam!	\x07לה-צ'אק חי ואני במנוסה!
\x07This crazy mutt is trying to kill me!	\x07בן התערובת המטורף הזה מנסה להרוג אותי!
\x07How did you know my name?	\x07איך ידעת את שמי?
I was talking to the dog.	דיברתי אל הכלב.
Who are you?	מי אתה?
\x07She named her DOG Guybrush?	\x07היא קראה ל*כלב* שלה ברנשצבע?
\x07Mr. Threepwood.  Take me to the Governor right away.	\x07מר כפיסדבק.  קח אותי למושלת מיד.
\x07I'm Governor Marley's ex-boyfriend.  She's expecting me.	\x07אני החבר לשעבר של המושלת מארלי.  היא מצפה לי.
\x07I'm selling these fine pink dresses.	\x07אני מוכר את השמלות הורודות הנאות האלה.
\x07I'm here for the party.  Want to see my invitation?	\x07באתי למסיבה.  רוצה לראות את ההזמנה שלי?
Yeah, I don't get it either.	כן, גם אני לא מבין את זה.
It's not much of name if you ask me.	זה לא שם מי יודע מה אם תשאל אותי.
She says it's cause he's dumb and helpless and keeps getting in the way.	היא אומרת שזה מכיוון שהוא טיפש וחסר אונים וכל הזמן נתקע לה בין הרגליים.
But he sure can sniff out the Governor's possessions.	אבל הוא בהחלט יודע לרחרח אחר הנכסים של המושלת.
Maybe you should empty your pockets.	אולי כדאי שתרוקן את הכיסים שלך.
I was just about to suggest the very same thing.	בדיוק עמדתי להציע את אותו הדבר.
But first, why don't you empty your pockets?	אבל קודם, אולי תרוקן את הכיסים שלך?
Sure, sure, loverboy.	בטח, בטח, מאהב קטן.
I'll just take you right up to see her.	אני אקח אותך למעלה לראות אותה.
No thanks.  It's not on my color wheel.	לא תודה.  זה לא נמצא בגלגל הצבעים שלי.
But let's just see what you have in your pockets.	אבל בוא נראה מה יש לך בכיסים.
That's a good idea.	זה רעיון טוב.
While you're at it, why don't you show me everything you have in your pockets?	אם כבר, אולי תראה לי את כל מה שיש לך בתוך הכיסים?
Try and catch me, old man!	תנסה לתפוס אותי, איש זקן!
Oh, look out for that rake.	אוי, תיזהר מהמגרפה הזאת.
side of house	צד הבית
side of house	צד הבית
Don't even THINK about going in there!	אל *תחשוב* אפילו להיכנס לשם.
door	דלת
It's a beat-up metal trash can.	זה פח אשפה חבוט ממתכת.
No way.	אין מצב.
It probably smells.	זה בטח מריח.
It IS closed.	זה *באמת* סגור.
garbage can	פח אשפה
It says, `Dear Booty Island Waste Disposal Service:	כתוב עליו, 'שירותי סילוק אשפה של אי הביזה היקרים:
Shhhh!	ששששש!
Please don't bang garbage cans.	בבקשה אל תדפקו פחי אשפה.
Governor sleeping upstairs.`	המושלת ישנה למעלה.'
sign	שלט
They're empty.	הם ריקים.
No thanks.  They reek of fish.	לא תודה.  הם מסריחים מדגים.
boxes	ארגזים
It's empty.	זה ריק.
No thanks.  It reeks of fish.	לא תודה.  זה מסריח מדגים.
box	קופסא
I think I've been enough of a pest.	אני חושב שהייתי מספיק קרציה.
CRASH!	*התנגשות*!
CRASH!	*התנגשות*!
CRASH!	*התנגשות*!
CRASH!	*התנגשות*!
I said cut that out!	אמרתי להפסיק עם זה!
Hey!  What's all the racket?	היי! על מה כל המהומה?
You again?!	שוב אתה?!
Oh, there you are.	אה, הנה אתה.
Anyway, like I was saying^	בכל מקרה, כפי שאמרתי^
There you go again!	הנה אתה שוב מתחיל!
Cut that out!	תפסיק עם זה!
Aren't you listening to me?	אתה לא מקשיב לי?
I'm about to stick that thing in your ear!	אני עומד לתקוע את הדבר הזה בתוך האוזן שלך!
Don't mess with the Governor's cans!	אל תתעסק עם האשפה של המושלת!
Don't be blowing nothing around here!	אל תתקע בשום דבר פה בסביבה!
Who do you think you are?	מי אתה חושב שאתה?
You better just get out of here!	כדאי לך להסתלק מכאן!
No good punk.	פרחח עלוב.
If it's not raccoons, it's teenage vandals!	אם אלה לא דביבונים, אלה בני נוער פרחחים!
You call that music or something?	אתה קורא לזה מוזיקה או משהו כזה?
You heard me.  Get lost.	שמעת אותי.  תסתלק.
Transient hooligan.	בריון ארעי.
Why I oughtta^	חכה מה שאני אעשה^
You've got some nerve.	איזה חוצפה יש לך.
I don't have time for this.	אין לי זמן לזה.
Go away boy.  You bother me.	לך מכאן ילד.  אתה מפריע לי.
Beat it!	תעוף מפה!
I'm going to use this meat cleaver in a second.	אני אשתמש בקופיץ הזה בעוד רגע.
This neighborhood has really gone downhill.	השכונה הזאת באמת התדרדרה.
Get a job!	תשיג עבודה!
Why don't you go down to the dump if you like garbage cans so much?	למה שלא תלך למזבלה אם אתה כל כך אוהב פחי אשפה?
Why don't you go join a parade if you like blowing horns so much?	למה שלא תצטרף למצעד אם אתה כל כך אוהב לתקוע בצופר?
SCRAM!	*ס'תלק*!
Don't you have anything better to do?	אין לך משהו יותר טוב לעשות?
Kids today!	ילדים בימינו!
Does your mother know where you are?	אמא שלך יודעת איפה אתה נמצא?
I'm sick of looking at you already.	כבר נמאס לי לראות אותך.
Bothering innocent people's trash^	מפריע לאשפה של אנשים תמימים^
Bothering innocent people with blaring music^	מפריע לאנשים תמימים עם מוזיקה רועשת^
Why don't you shove off?	למה שלא תתחפף?
What's the matter?  No parlay Englais?	מה הבעיה?  נו טוק היברו?
I said scram!	אמרתי להסתלק!
Vammoose!	קישטה!
Try sticking your head in a cannon if you like loud noises.	תנסה לדחוף את הראש לתוך תותח אם אתה אוהב רעשים חזקים.
Don't let me catch you hanging around the Governor's party, either.	תיזהר שאני גם לא אתפוס אותך מסתובב במסיבה של המושלת.
Take a hike!	צא מפה!
OK, that's it.  I'm calling the cops!	בסדר, זהו זה. אני מתקשר למשטרה!
Make yourself scarce.	תעלים את עצמך.
You'd better go before I lose my temper.	כדאי שתלך לפני שאני אתעצבן.
I'll beat you like an egg!	אני אהלום בך כמו שניצל!
This is a respectable place, hear me?	זה מקום מכובד, אתה שומע?
We don't take to your kind here.	אנחנו לא אוהבים אנשים כמוך פה.
Buzz off!	עוף מכאן!
Shoo!	לך!
Yeah, I'm talking to you!	כן, אני מדבר אליך!
Amscray!	החוצה!
I think I hear your mother calling.	אני חושב שאני שומע את אמא שלך קוראת לך.
Go get a haircut!	לך תסתפר!
I'm warning you--I can debone a chicken in fifteen seconds with my bare hands.	אני מזהיר אותך--אני יכול להוציא לתרנגולת את העצמות תוך חמש עשרה שניות בידיי החשופות.
OK, that's it.  No more Mr. Nice Guy.	טוב, זהו זה. מעכשיו אני מפסיק להיות נחמד.
This is your last chance--I'm running out of spit.	זאת ההזדמנות האחרונה שלך--נגמר לי הרוק.
Hey!  Come back here!  I'm not done yet!	היי! תחזור הנה!  עדיין לא סיימתי!
Hmpf!	המפף!
Punk.	פרחח.
Let this be a lesson to you.	שזה ילמד אתך לקח.
You're lucky I have to get back to my fish!	יש לך מזל שאני צריך לחזור לדגים שלי!
And, well^	וגם, ובכן^
^just don't you forget it!	^פשוט אל תשכח את זה!
The nerve^	החוצפה^
They seem to be enjoying the party.	נראה שהם נהנים מהמסיבה.
I'm not dressed for wrestling.	אני לא לבוש להיאבקות.
Can I just squeeze by?	אני יכול להידחק כאן?
Get a room.	תשיגו חדר.
Can I see both of your ID's, please?	אני לראות את תעודות הזיהוי של שניכם, בבקשה?
Haven't you ever heard of mono?	לא שמעת פעם על מונו?
Step aside, please.	לך הצידה, בבקשה.
OK, party's over.  Time to go home.	בסדר, המסיבה נגמרה.  הגיע הזמן ללכת הביתה.
party guests	אורחי מסיבה
door	דלת
I can't get by these people on the stairs.	אני לא יכול לעבור את האנשים האלה שעל המדרגות.
upstairs	למעלה
It looks like part of the map to Big Whoop!	זה נראה כמו חלק מהמפה של א גרוייסע מציאה!
It's not mine to use.	זה לא שלי לשימוש.
map	מפה
Looks like I'm too late for the hors d'oeuvres.	נראה שהגעתי מאוחר מדי בשביל המתאבנים.
Too late--they're already picked clean.	מאוחר מדי--כבר חיסלו אותם לחלוטין.
bones	עצמות
Nice costume.	תחפושת נחמדה.
party guest	אורח מסיבה
Nice costume.	תחפושת נחמדה.
party guest	אורח מסיבה
Nice costume.	תחפושת נחמדה.
party guest	אורח מסיבה
Nice costume.	תחפושת נחמדה.
party guest	אורח מסיבה
Nice costume.	תחפושת נחמדה.
party guest	אורח מסיבה
Nice costume.	תחפושת נחמדה.
party guest	אורח מסיבה
Nice costume.	תחפושת נחמדה.
party guest	אורח מסיבה
Nice costume.	תחפושת נחמדה.
party guest	אורח מסיבה
I'm gonna sweat off twenty pounds in this stupid costume!	אני אוריד עשר קילו של זיעה מתחפושת המטופשת הזאת!
No kidding.	אני לא צוחק.
I forgot to put airholes in mine.	שכחתי לשים פתחי אוורור בשלי.
Why do we put up with this stuff?	למה אנחנו מסכימים לסבול את השטויות האלה?
I dunno.	לא יודע.
I guess to prove we're fun-loving guys?	אולי כדי להוכיח שאנחנו חבר'ה שאוהבים לכייף?
You check out the spitting contest?	הלכת לתחרות היריקות?
Yeah.  Got second place.	כן.  הגעתי למקום השני.
Not bad!	לא רע!
Yeah, well, you know.	כן, טוב, אתה יודע.
The wind was with me.	הרוח הייתה לטובתי.
Nice mask.	מסיכה יפה.
Thanks.	תודה.
More subtle than most.	יותר עדינה מהרוב.
Yes, thanks.	כן, תודה.
Not your usual, larger-than-life,	לא הסגנון הרגיל, המוגזם,
Mardi Gras head.	של ראשים שרואים במארדי גרא.
Nope.	לא.
Probably saved a lot on materials, huh?	בטח חסכת המון על חומרים, נכון?
I'm sure I don't know.	אני בטוח שאני לא יודעת.
Not that paper mache is very expensive^	לא שעיסת נייר היא מאוד יקרה^
Do you mean `Papier-M\x83ch\x82?`	אתה מתכוון `פפייר משיי?`
Yeah, whatever.	כן, מה שתגידי.
No, I don't imagine that it's very expensive at all.	לא, אני מנחשת שזה לא יקר בכלל.
Still, you must have saved a bundle.	עדיין, בטח חסכת מלא.
I never scrimp when it comes to the holidays.	אני אף פעם לא מתקמצנת כשזה נוגע לחגים.
Well, I didn't mean you were cheap^	טוב, לא התכוונתי שאת קמצנית^
Parties and balls are my life.	מסיבות ונשפים הם כל החיים שלי.
I just meant^	רק התכוונתי^
Making gay is the only purpose I can find in my wretched, well-to-do life.	לעשות שמח זו המטרה היחידה שאני מוצאת בחיים האומללים והאמידים שלי.
I'm sure it must be hard--	אני בטוח שזה קשה--
But you say my costume looks cheap.	אבל אתה אומר שהתחפושת שלי נראית זולה.
No, no.  It looks great!	לא, לא. זה נראה נהדר!
That's not what you said before.	זה לא מה שאמרת לפני כן.
I just said it looked^ subtle.	רק אמרתי שזה נראה^ עדין.
Can't we just drop the subject?	אי אפשר פשוט להניח לנושא?
Yeah.  OK.  Fine.	כן.  בסדר.  טוב.
To Elaine Marley!	לחיי אילנה מארלי!
To Elaine!	לחיי אילנה!
To this great party!	לחיי המסיבה הנהדרת הזאת!
To the party!	לחיי המסיבה!
To the salmon p\x83te!	לחיי ממרח הסלמון!
P\x83te!	ממרח!
To Mardi Gras!	לחיי המארדי גרא!
Mardi Gras!	מארדי גרא!
To all the women I've loved before!	לחיי כל הנשים שאהבתי בעבר!
OK!	בסדר!
And let's have one for the Jolly Roger!	ובואו נשתה אחד לחיי הרוג'ר העליז!
Yeah!  For Roger!	כן!  לחיי רוג'ר!
To the Sea!	לחיי הים!
The Sea!	הים!
To the Land!	לחיי היבשה!
The Land!	היבשה!
To the Manatee!	לחיי פרת הים!
Ah, yes.	אה, כן.
To Santa Claus!	לחיי סנטה קלאוס!
Santa!	סנטה!
To the love of a good parrot!	לחיי האהבה של תוכי טוב!
Aye!  A pirate's best friend!	בהחלט!  החבר הכי טוב של שודד ים!
To that captain we strung up three years ago!	לחיי הקפטן שתלינו לפני שלוש שנים!
Swab this!  That's what I say to him!	תנקה את זה!  זה מה שאני אומר לו!
To penicillin!	לחיי פניצילין!
To penicillin!	לחיי פניצילין!
To Blackbeard himself!	לחיי שחורזקן בכבודו ובעצמו!
Now there's a man!	עכשיו זה גבר!
Here's to good friends!	הנה לחיי חברים טובים!
Tonight IS kind of special^	הלילה *הוא* די מיוחד^
One for the road!	נשתה אחד לדרך!
One for the road!	נשתה אחד לדרך!
For old time's sake!	לחיי זמנים עברו!
For old times!	לחיי אותם זמנים!
To less talk, more rock!	לחיי פחות דיבורים, ויותר רוקנרול!
Amen!	אמן!
To fresh-cut grass!	לחיי דשא קצוץ טרי!
Of course!	כמובן!
To the life of a pirate!	לחייו של שודד ים!
What a life!	אילו חיים!
To little puppies!	לחיי כלבלבים קטנים!
Aw, that's cute.	אוי, זה חמוד.
To moderate, social drinking!	לחיי שתייה מתונה וחברתית!
Moderation in all things, yes.	מתינות בכל הדברים, כן.
To Elaine Marley!	לחיי אילנה מארלי!
To Elaine!	לחיי אילנה!
To this great party!	לחיי המסיבה הנהדרת הזאת!
To the party!	לחיי המסיבה!
To the salmon p\x83te!	לחיי ממרח הסלומון!
P\x83te!	P\x83te!
To Mardi Gras!	לחיי המארדי גרא!
Mardi Gras!	מארדי גרא!
To all the women I've loved before!	לחיי כל הנשים שאהבתי בעבר!
OK!	בסדר!
And let's have one for the Jolly Roger!	ובואו נשתה אחד לחיי הרוג'ר העליז!
Yeah!  For Roger!	כן!  לחיי רוג'ר!
To the Sea!	לחיי הים!
The Sea!	הים!
To the Land!	לחיי היבשה!
The Land!	היבשה!
To the Manatee!	לחיי פרת הים!
Ah, yes.	אה, כן.
To Santa Claus!	לחיי סנטה קלאוס!
Santa!	סנטה!
To the love of a good parrot!	לחיי האהבה של תוכי טוב!
Aye!  A pirate's best friend!	בהחלט!  החבר הכי טוב של שודד ים!
To that captain we strung up three years ago!	לחיי הקפטן שתלינו לפני שלוש שנים!
Swab this!  That's what I say to him!	תנקה את זה!  זה מה שאני אומר לו!
To penicillin!	לחיי פניצילין!
To penicillin!	לחיי פניצילין!
To Blackbeard himself!	לחיי שחורזקן בכבוד ובעצמו!
Now there's a man!	עכשיו זה גבר!
Here's to good friends!	הנה לחיי חברים טובים!
Tonight IS kind of special^	הלילה *הוא* די מיוחד^
One for the road!	נשתה אחד לדרך!
One for the road!	נשתה אחד לדרך!
For old time's sake!	לחיי זמנים עברו!
For old times!	לחיי אותם זמנים!
To less talk, more rock!	לחיי פחות דיבורים, ויותר רוקנרול!
Amen!	אמן!
To fresh-cut grass!	לחיי דשא קצוץ טרי!
Of course!	כמובן!
To the life of a pirate!	לחיי חייו של שודד ים!
What a life!	אילו חיים!
To little puppies!	לחיי כלבלבים קטנים!
Aw, that's cute.	אוי, זה חמוד.
To moderate, social drinking!	לחיי שתייה מתונה וחברתית!
Moderation in all things, yes.	מתינות בכל הדברים, כן.
So where are all the chicks?	אז איפה כל הבחורות?
Yeah.  I thought there'd be some here.	כן. חשבתי שיהיו פה כמה.
Then again^	מצד שני^
^in these costumes, who can tell?	^בתחפושות האלה, מי יכול להבדיל?
That's true.	זה נכון.
There might be some babes here.	אולי יש כאן כמה פרגיות.
But what can we do about it?	אבל מה אפשר לעשות לגבי זה?
Well^  we just ask.	טוב^ אנחנו פשוט נשאל.
Ask?	נשאל?
What are you, nuts?	מה אתה, משוגע?
Yeah.  I guess you're right.	כן.  כנראה שאתה צודק.
Sigh.	אנחה.
Mardi Gras sure is tough on us swingers.	מארדי גרא היא ממש קשוחה להוללים כמונו.
I'll drink to that.	אני אשתה לחיי זה.
Some party, eh?	חתיכת מסיבה, אה?
Some party, eh?	חתיכת מסיבה, אה?
Some party, eh?	חתיכת מסיבה, אה?
Some party, eh?	חתיכת מסיבה, אה?
Some party, eh?	חתיכת מסיבה, אה?
Some party, eh?	חתיכת מסיבה, אה?
Yep.	בטח.
Yep.	בטח.
Yep.	בטח.
Yep.	בטח.
Yep.	בטח.
Yep.	בטח.
Try the fish?	טעמת מהדג?
Try the fish?	טעמת מהדג?
Try the fish?	טעמת מהדג?
Try the fish?	טעמת מהדג?
Try the fish?	טעמת מהדג?
Try the fish?	טעמת מהדג?
Yeah.  Almost choked on a bone.	כן.  כמעט נחנקתי מעצם.
Yeah.  Almost choked on a bone.	כן.  כמעט נחנקתי מעצם.
Yeah.  Almost choked on a bone.	כן.  כמעט נחנקתי מעצם.
Yeah.  Almost choked on a bone.	כן.  כמעט נחנקתי מעצם.
Yeah.  Almost choked on a bone.	כן.  כמעט נחנקתי מעצם.
Yeah.  Almost choked on a bone.	כן.  כמעט נחנקתי מעצם.
Hear the one about the Polar Bear with the hairlip?	שמעת את הבדיחה על דב הקוטב עם השפה השסועה?
Hear the one about the Polar Bear with the hairlip?	שמעת את הבדיחה על דב הקוטב עם השפה השסועה?
Hear the one about the Polar Bear with the hairlip?	שמעת את הבדיחה על דב הקוטב עם השפה השסועה?
Hear the one about the Polar Bear with the hairlip?	שמעת את הבדיחה על דב הקוטב עם השפה השסועה?
Hear the one about the Polar Bear with the hairlip?	שמעת את הבדיחה על דב הקוטב עם השפה השסועה?
Hear the one about the Polar Bear with the hairlip?	שמעת את הבדיחה על דב הקוטב עם השפה השסועה?
